user,doc,term,selected
HSOAQ,AP880721-0095,trader,1
HSOAQ,WTX018-B20-194,battlax,1
HSOAQ,WTX016-B14-3,western,0
HSOAQ,FBIS3-41598,giannini,1
HSOAQ,AP880622-0299,repertoire,1
HSOAQ,AP890629-0038,snowbird,1
HSOAQ,AP880802-0131,bytes,1
HSOAQ,AP880321-0151,liberian,1
HSOAQ,FBIS3-22836,dose,0
HSOAQ,FT923-8257,rule,1
HSOAQ,AP880321-0121,side,1
HSOAQ,WTX003-B02-184,seating,0
HSOAQ,AP890713-0202,hms,1
HSOAQ,AP880706-0326,tnt,1
HSOAQ,FR940111-2-00031,mccaw,1
HSOAQ,GX005-53-8274005,quigg,1
HSOAQ,LA111190-0027,nationwide,1
HSOAQ,FBIS3-48894,entertainment,1
HSOAQ,FT943-8528,tridelphia,1
HSOAQ,AP880629-0144,stairs,1
HSOAQ,LA122289-0076,154bn,1
HSOAQ,WTX061-B36-181,expenses,0
HSOAQ,AP880803-0103,stick,0
VXDPZ,WTX099-B24-354,declassified,0
VXDPZ,AP890424-0284,vat,1
VXDPZ,AP890308-0220,scrapie,1
VXDPZ,WTX026-B08-107,chromatography,1
VXDPZ,AP890512-0173,aoun,1
VXDPZ,GX249-32-15302501,deq,0
VXDPZ,WTX075-B46-114,grigsby,0
VXDPZ,LA040789-0040,sequencing,1
VXDPZ,FT922-3424,nabbed,1
VXDPZ,AP881123-0283,czar,1
VXDPZ,AP891215-0107,aupe,1
VXDPZ,AP880930-0069,pipeline,1
VXDPZ,AP880827-0141,barre,1
VXDPZ,WTX042-B24-60,signify,1
VXDPZ,FT924-2507,penalised,1
VXDPZ,AP891104-0005,polluters,1
VXDPZ,AP881206-0121,expertise,1
VXDPZ,AP880220-0009,zaremba,0
VXDPZ,FT931-4409,australian,1
VXDPZ,WTX027-B07-9,medicinal,1
VXDPZ,GX244-07-12005999,haartz,0
VXDPZ,GX002-31-7845435,flemish,1
VXDPZ,FR941122-0-00087,observatory,1
VXDPZ,FT922-13711,toddlers,1
VXDPZ,AP880312-0006,buffalo,1
VXDPZ,WTX018-B45-20,diets,1
VXDPZ,LA082989-0016,manipulation,0
VXDPZ,AP880706-0299,bucked,1
VXDPZ,WTX004-B09-278,griffor,0
VXDPZ,WTX069-B10-201,counter,1
VXDPZ,AP881026-0117,stood,1
VXDPZ,FT923-437,halfords,1
VXDPZ,LA060590-0046,treatment,1
VXDPZ,AP880530-0182,spanish,1
VXDPZ,FR940505-1-00242,draws,1
VXDPZ,FT942-4421,crestone,1
VXDPZ,WTX093-B47-244,sown,0
VXDPZ,FR940817-2-00019,bouquets,1
DDSCR,WTX018-B20-194,choo,0
DDSCR,AP890308-0220,thread,1
DDSCR,AP890424-0284,participatory,1
DDSCR,FR940318-0-00101,lauea,0
DDSCR,FR940511-0-00062,meehan,1
DDSCR,AP880502-0077,mackinac,1
DDSCR,AP891127-0132,drexel,1
DDSCR,AP890927-0033,fiddleheads,1
DDSCR,AP891218-0158,bathsheba,0
DDSCR,FT942-3471,immelt,0
DDSCR,WTX020-B20-176,shares,0
UOPBK,WTX018-B20-194,fl,1
UOPBK,FT941-10100,b2,1
UOPBK,WTX047-B39-305,formaldehyde,0
